name,status,comment,rate,zan
当ism,看过,结尾有扎实地被感动到，平安哥的所有坚持，伴着毛不易唱的祝你平安，让我的眼泪也一股脑儿的出来了。大鹏导演的每一部电影都是一次蜕变，每一点进步，说易行难，这次必须5星好评！,力荐,1241
黛玉,看过,李雪琴，天然感演员。,力荐,867
forfaen,看过,关于韩露如果真的是坐台小姐应不应该被挖出来这件事，开篇魏平安和墓地经理吵架已经给了创作者的表态。魏平安质问祁经理：坐台小姐怎么了，埋咱这的人不让有道德瑕疵？别老模糊重点了吧？真不知道是看不懂还是看不见。,推荐,4179
西楼尘,看过,腿上的胎记是女孩的软肋，乌有的传言是掘墓的铁铲。裤脚向下一寸遮不住审美的霸凌，棺椁移走一格破不掉信息的茧房。这时代多得是为流量胡说的嘴，因谣言蒙蔽的眼，却鲜有不凉的血和求真的心。冰可乐不凉热血，总抱怨直播间没人送出烟花。前方拦路的白马为不舍的爱牵线，江面盛放的烟花祝侠义的人平安。,推荐,2363
阿达方,看过,HIIFF开幕影片，也是本片首映。映前大鹏说这么久了再一次看到这么多人坐在电影院很感动，这句话很打动我，影片也是，有笑有泪。,力荐,758
大奇特(Grinch),看过,你能看到大鹏导演确实尊重喜剧片，并受到了社会派类型片的启发。当一个严肃主题出现在喜剧中，便有了对社会现实的讽刺。英文名“post-truth”(后真相)完全概括了主题，虽然是2016年《牛津词典》才有的新词汇，却是一种在八卦圈和社交媒体早就存在的事实，电影以通俗化手段对这种现象予以善意的讽刺。本质上，网络（传谣）暴力和校园暴力没有区别，用父女线紧扣同理心，互为镜像。开场就用脏车洗白白，迅速建立起基调，戏剧起点是从流言的后果往回捋，找到根源，各阶层的吃瓜角色贯穿起谣言的两极。当你听“Tony”时，已经是“偷泥”了，在喜剧中是错位叠加误会，是听说的错位引发的误会。大鹏态度硬朗、网感十足，又从喜剧中延伸出新的温情。喜剧的内核就是悲情，大前提还是朝着一个好故事的目标努力，故事是大于喜剧的。,推荐,1161
李博文,看过,怎么说呢，就是这电影如果是外国的，大鹏是白人宋茜是黑人，放在《绿皮书》那届就坐地拿小金人了,力荐,488
momo,看过,看这个电影最大的疑问，如果韩露真的是坐台女，她死后就可以被挖坟墓吗？,还行,3313
嘟嘟熊之父,看过,有点动人，感觉是大鹏送给柳岩的一份礼物，也是这个没有反派又处处是反派的世界所需要的，一种没什么大用的浪漫的义气。,还行,1503
谋杀游戏机,看过,特别喜欢！大鹏的每一部都有明显进步，这部是他商业性和作者性平衡得最好的一部电影，是当下理想的“先把片子拍好看，然后也有一点表达”式电影项目。片中的嬉笑怒骂、讽刺的很多现象都让我感同身受。李雪琴和马丽的戏份最好笑，能看出每一场戏都有用心琢磨怎么能呈现得更好玩。结尾猝不及防一个暴击，放完片其他人都走了，我坐在影厅里哭了十分钟（先不剧透为什么）TT这片剧本好、制作好，这一年过得太不容易了，需要一个释放的出口，需要开心，需要治愈。海南电影节开幕片放完，剧组还在海边放了烟花（片中有相关情节），有心了。希望那些我们想念的人都能看到。,推荐,855
格兰芬多,看过,你问这一切到底值不值？最后的烟花会给你想要的答案。大鹏的作品在进步，越来越扎实，更贴地气，也更细腻。依旧是以喜剧式讽刺社会的作品，题材落地了，想法务实了，对社会以及当下时事的思考表达的相当充分。单就对网络喷子、键盘侠、造谣等话题的讨论与表现就很讨喜，社会及互联网的乱象需要一部有喜剧感的作品来传播，当魏平安将造谣者键盘侠按倒的那一刻，谁不喊一声“爽”！,力荐,483
华盛顿樱桃树,看过,看完的感受就是酣畅淋漓，最后被可乐梗感动到了。大鹏真是聪明，讽刺喜剧，商业类型。亲情友情除了爱情所有情拉拉满，还有陌生人的善意与恶意，校园霸凌网红现场等等。元素之多，但放在一起和谐圆满。两个细节，乔杉修车时的背景乐是都选C，还有最后爱喝可乐的潇洒哥。蛮值得在商业层面成功的。,推荐,667
Rie,看过,白马虽是好意象，可是坐台小姐也没有惹任何人,推荐,491
yoyo侠,看过,立意很好，但只是浅浅摸到了边缘。一个女人要足够清白足够高尚才会被允许葬在男友旁边，本身这件事就很荒谬，通篇主角也只是为了帮她澄清谣言而奔走，从未想过女性是否可以挣脱这层枷锁。,还行,1218
FeiY,看过,大鹏在类型片元素的野心上可见一斑，笑点是过关的，片中的金句也立起来了，只是后半段略显冗长，结尾处放烟花开始意味有点掉下来了。强喜剧元素的电影对观众来说是要在开始时接受设定，所以这部电影注定会面对一些质疑，但大鹏或许是在进步的。,推荐,505
胤祥,看过,#4thHIIFF#开幕片。7分。把片子当成武侠片来看就全捋顺了。无论是稍嫌不足的主角人物动机，以及有些无来由的诸多桥段，放到这个类型（而不是喜剧）里就特别通畅。全片为男主一人作配，人物形象算是立住了；女儿副线其实也只有一小半成立（父女关系是可以的，其余的也太潦草了……）。片子英文名叫”posttruth“算是个亮点，视听上对社交媒体内容的运用其实可以用得更有想法一点。无法审判吃瓜群众的时候，就只能找一个肉身代表来审判，同时也就把群众责任赦免了，这角度，啧啧。另外也是头回见到“司法量刑字幕卡”之后还有重场戏的，这也算个视听语言新进展吧哈哈哈。,推荐,343
Tom,看过,2.5。平庸中的平庸，在表面复杂、艺术炫耀、高完成度背后，是一出并不够黑色幽默也不够现实主义的故事，落点“做我认为正确的事”实际上很无力，无法实现，这种简单与执拗令人失落。希望跨年后，2023年的电影能真的平安。,还行,455
朝阳区妻夫木聪,看过,#4thHIIFF#大鹏真的越拍越好了。从煎饼侠到缝纫机乐队再到这部，一直在诠释平凡小人物的心境。他们不是完全意义上完美的人，但都在用自己的方式去坚持捍卫着什么。魏平安这个人物的底色是有些悲凉的，有过所谓的人生“污点”，学历不高，做着一份不上不下的工作，生活的面子光鲜亮丽但里子可以随便凑合。但即便如此，他依旧会去帮助一个萍水相逢的人，去追求一个没人在乎的真相。某种程度上，这是他对抗这个世界的方式，或许执拗笨拙，但却有情有义。再次响起《都选C》这首歌，既是缅怀老友，也是旧戏新唱。就像歌词唱的，一个固执的不被世界理解的“卢瑟”，却有着自己理解这个世界的方式。所以最后那场极具情感渲染力的戏会那么动人，全世界都在笑，他却哭了，因为他总算看到了，这个世上，也有人在傻傻地理解着他。他很孤单，但他并不孤独。,推荐,384
张小北,看过,大鹏难得的是一直在进步，这一点不容易。,推荐,94
黄曾鸿辰,看过,2021年，在横店。连着好久一段时间赶工没咋睡觉，自己一天比一天懈怠，精神又变得不好，吃了吐吐了吃，我崩溃着给周妈打电话说我不想做剪辑了，周妈说孩子太累了就休息一下，但答应别人的事情要做完。我觉得有道理，但还是很难让自己立刻恢复朝气，直到我和李哥阿萱请假去看了《吉祥如意》。我看完哭了很久，觉得干电影真好，我还是很想干电影的。我平复了情绪给大鹏哥打了视频电话，说《花木兰》的契机还是让我们认识得太晚了，不然我就能帮你剪《吉祥如意》了。他和阿花看我哭自己倒是笑得蛮开心，说，下一部等你！下一部会更好。然后就有了《保你平安》。他没骗我，下一部更好，而且我没有错过。谢谢大鹏哥，谢谢屠老师，谢谢周妈，我很开心，我还在剪片子，我还在干电影。,力荐,204
摸摸你的头,看过,观影前见到了大鹏，大概知道了题材。有很多想写的，但是又怕剧透。是一部搞笑的温暖充满正能量的喜剧片。但是中间有很多细节让我感动流泪好几次。值得大家去看。搞笑到眼泪，也让人感动流泪。节奏都把握的很好。正式上映之后我还会再去看一遍的。很用心的一部剧，甚至片尾的小彩蛋，还有怀念某某的某某哥。大鹏老师是个性情中人，用自己搞笑的方式去传播正能量。我也仿佛看到了自己，高中的时候为了同学去小诊所跟医生吵架（去年那个同学说起来我才想起）。然后直到现在工作多年了，还是很难改变“多管闲事”的臭毛病。是，做我觉得正确的事，就好。里面第一个触动我的细节，就是平安打好了一堆解释的文字但是删了，直接回复了“爸错了”。其实他想表达的很多内容都是体现在再平常不过的细节里，经历过才能感同身受，并不是纯纯的喜剧表面本身。,推荐,201
祝老六,看过,多奇葩才能用英雄救美的方法将女性受害的故事。除了压根尬笑都很难笑出来以外，还要忍受既要笑中带泪，又要社会现实，还要温暖感人这种又烂又无聊的观念指导。同时还伴随着对于女性工作者歧视和外貌歧视。顺便说一句，这种最终认可胎记的表面情节工夫，和最后字幕一行字说犯罪嫌疑人伏法并没有什么区别,很差,318
seventictok,看过,如果坐台小姐去世了，请按照合同法(而不是贞洁)，依法dealwith她的坟墓谢谢..,还行,277
朝暮雪,看过,现实中真的有平安这样的人吗？又真的有韩露这样的完美受害者吗？如果韩露不漂亮，如果她很丑，或者她是男的，有人网暴她，要挖她的坟，平安还会做出相同的选择吗？但有多少人长得和宋茜一样漂亮呢？现实中“韩露们”并不普遍，甚至可能根本没有，因为她没有任何污点，这是一个所有人都在诬陷一个最清白的人的故事，但现实中有完全没有污点的人吗？现实中更多的是有人被网暴，甚至被打、被杀、被性侵，但他不是完美受害者，人们发现他以前也做过错事，尽管这两件事没有关系，人们仍然认为他不值得同情，他活该被伤害。“因为”他犯过错，“所以”他才会被伤害，这是因果关系。我更想知道，如果韩露真的是小姐，有人要挖她的坟，如果一个不漂亮的人，一个有污点的人受到了伤害，人们依然会为他讨回公道吗？还是会因为他有污点，而认为他是罪有应得？,还行,204
一條魚佔滿了河,看过,寫給現實的地獄笑話一則。人們總是可以為了自己的名譽而拼命，但是有多少人會為了別人的名譽而拼命呢，甚至以自己的名譽為代價，當一個損己利人的傻瓜，抽絲剝繭，撥雲見日，謠言背後的真相，是那麼荒誕，荒誕得如此現實。大鵬作為導演一直在進步，和他電影中的一個又一個傻瓜一樣，在堅持做著他覺得正確的事情，看電影的過程中，電影發佈了撤檔公告，無可奈何，身不由己，只能祝福電影平安。,推荐,143
lena,看过,海影节开幕片，最后的祝你平安响起来时，突然感觉今年是真的不容易……总体来说电影平平吧，想接地气但是透着一股俗，对于正能量教化型电影习惯性不适。,还行,209
Fairy🍒,看过,“当你说一个女人是小姐的时候，不管她是不是，她都已经是了。”真·造谣一张嘴辟谣跑断腿，这是现代社会下理想主义追求正义的故事，看到了好的议题，好的反思。却还是说服力不太强，我挺期待看到更多关于韩露的故事，但她更多的沦为了一种符号。整体来看，这是一部标准的“有笑有泪”式正能量作品，风格有点土，也可以说是接地气吧，大段的直播元素不太喜欢，密室逃脱部分有笑果，但也太多了，过分追逐流行热点，就会失去了电影感。最后，我会被每一部电影的烟花场景打动，这部也是一样。,还行,92
