title,subTitle,order,score,badge,link,
让子弹飞,姜文黑色喜剧,1.4亿次播放,9.9,独家,https://www.bilibili.com/bangumi/play/ss12548?theme=movie
大世界扭蛋机,暑期必看国产新片,9437.7万次播放,,独家,https://www.bilibili.com/bangumi/play/ss41937?theme=movie
扬名立万,新春独播上线！,8105.1万次播放,9.6,独家,https://www.bilibili.com/bangumi/play/ss39892?theme=movie
坏蛋联盟,天生“坏蛋”想从良,7050.5万次播放,9.6,会员专享,https://www.bilibili.com/bangumi/play/ss42715?theme=movie
温暖的抱抱,B站独播 笑爆新春,6182万次播放,8.0,独家,https://www.bilibili.com/bangumi/play/ss37947?theme=movie
夺冠,金鸡奖最佳故事片,5942万次播放,9.1,独家,https://www.bilibili.com/bangumi/play/ss34353?theme=movie
罗小黑战记,小黑来了，喵！,5716.1万次播放,9.9,会员专享,https://www.bilibili.com/bangumi/play/ss28198?theme=movie
四海,韩寒新作全网独播,5472.6万次播放,,独家,https://www.bilibili.com/bangumi/play/ss41540?theme=movie
大世界扭蛋机 · 特别篇：明日之后,电影会死吗？,5367.1万次播放,,独家,https://www.bilibili.com/bangumi/play/ss41936?theme=movie
新神榜：杨戬,共赴古风非凡冒险,5157.3万次播放,8.5,出品,https://www.bilibili.com/bangumi/play/ss43055?theme=movie
天气之子,现在起要放晴了！,4992.6万次播放,9.6,会员专享,https://www.bilibili.com/bangumi/play/ss33343?theme=movie
正义联盟：扎克·施奈德版,最全DC宇宙阵容集结！,4889.1万次播放,9.8,会员专享,https://www.bilibili.com/bangumi/play/ss38552?theme=movie
哈利·波特与魔法石,霍格沃兹开学了！,4858.1万次播放,9.8,会员专享,https://www.bilibili.com/bangumi/play/ss28281?theme=movie
唐人街探案3,神秘Q现身！,4752.9万次播放,5.4,会员专享,https://www.bilibili.com/bangumi/play/ss38663?theme=movie
功夫,周星驰经典动作喜剧,4424.4万次播放,9.9,会员专享,https://www.bilibili.com/bangumi/play/ss32523?theme=movie
刀剑神域：序列之争,刀剑神域剧场版,4412.7万次播放,9.4,,https://www.bilibili.com/bangumi/play/ss12364?theme=movie
紫罗兰永恒花园外传：永远与自动手记人偶,紫罗兰永恒花园系列,4244.8万次播放,9.9,独家,https://www.bilibili.com/bangumi/play/ss31779?theme=movie
新神榜：哪吒重生,东方朋克风新国漫,4052.7万次播放,8.9,会员专享,https://www.bilibili.com/bangumi/play/ss37663?theme=movie
声之形,京阿尼绝美画风！,3936.5万次播放,9.6,,https://www.bilibili.com/bangumi/play/ss12116?theme=movie
头文字D,周杰伦主演漫改电影,3660.9万次播放,9.8,会员专享,https://www.bilibili.com/bangumi/play/ss32635?theme=movie
命运之夜——天之杯：恶兆之花,圣杯战争，开幕！,3653.4万次播放,9.6,独家,https://www.bilibili.com/bangumi/play/ss26703?theme=movie
秒速五厘米,一生的距离,3601万次播放,9.6,,https://www.bilibili.com/bangumi/play/ss2688?theme=movie
海绵宝宝历险记,我准备好了！,3598万次播放,9.7,会员专享,https://www.bilibili.com/bangumi/play/ss25992?theme=movie
全职高手之巅峰荣耀,电竞少年的荣耀之路,3575.3万次播放,6.5,会员专享,https://www.bilibili.com/bangumi/play/ss27821?theme=movie
教父,黑手党家族奋斗史,3481.8万次播放,9.9,会员专享,https://www.bilibili.com/bangumi/play/ss26416?theme=movie
喜羊羊与灰太狼之筐出未来,羊狼组队打篮球,3394万次播放,9.8,会员专享,https://www.bilibili.com/bangumi/play/ss41437?theme=movie
流浪地球,华语科幻电影里程碑,3324.9万次播放,9.6,会员专享,https://www.bilibili.com/bangumi/play/ss33358?theme=movie
言叶之庭,新海诚力作,3318.4万次播放,9.7,,https://www.bilibili.com/bangumi/play/ss2546?theme=movie
侏罗纪世界3,侏罗纪世界收官之作,3296.1万次播放,5.2,会员特价,https://www.bilibili.com/bangumi/play/ss42328?theme=movie
武林外传,还是那个同福客栈,3151.2万次播放,9.5,,https://www.bilibili.com/bangumi/play/ss12445?theme=movie
神奇动物：邓布利多之谜,传奇之战一触即发,3072万次播放,6.1,会员特价,https://www.bilibili.com/bangumi/play/ss42077?theme=movie
一秒钟,张艺谋新作独播,3040万次播放,5.6,独家,https://www.bilibili.com/bangumi/play/ss35495?theme=movie
肖申克的救赎,影史最高分电影,3018.6万次播放,9.9,会员专享,https://www.bilibili.com/bangumi/play/ss28274?theme=movie
白蛇2：青蛇劫起,执此念 续前缘,3001.4万次播放,8.5,出品,https://www.bilibili.com/bangumi/play/ss39104?theme=movie
哈利·波特与密室,伏地魔卷土重来,2978.7万次播放,9.8,会员专享,https://www.bilibili.com/bangumi/play/ss28296?theme=movie
环太平洋,巨型机甲对抗巨兽,2945.7万次播放,9.7,会员专享,https://www.bilibili.com/bangumi/play/ss32436?theme=movie
蝙蝠侠：黑暗骑士,哥谭市真正的英雄,2909.7万次播放,9.7,会员专享,https://www.bilibili.com/bangumi/play/ss28280?theme=movie
姜子牙,中国神话系列新作,2843.8万次播放,7.6,会员专享,https://www.bilibili.com/bangumi/play/ss35370?theme=movie
青春猪头少年不会梦到怀梦美少女,青春猪头系列剧场版,2812.4万次播放,9.8,独家,https://www.bilibili.com/bangumi/play/ss28965?theme=movie
星际穿越,不要温和地走进良夜,2798.2万次播放,9.9,会员专享,https://www.bilibili.com/bangumi/play/ss28585?theme=movie
新·奥特曼,空想、浪漫与友情,2788.4万次播放,9.6,会员特价,https://www.bilibili.com/bangumi/play/ss43771?theme=movie
紫罗兰永恒花园 剧场版 ,京都动画催泪之作,2716.5万次播放,9.9,独家,https://www.bilibili.com/bangumi/play/ss40028?theme=movie
狙击手,张艺谋还原抗美援朝,2713.2万次播放,7.8,会员专享,https://www.bilibili.com/bangumi/play/ss41414?theme=movie
海绵宝宝,一起去抓水母吧,2648.9万次播放,9.8,会员专享,https://www.bilibili.com/bangumi/play/ss32663?theme=movie
万万没想到,王大锤遇上唐僧师徒,2624.4万次播放,8.1,,https://www.bilibili.com/bangumi/play/ss10006?theme=movie
哥斯拉2：怪兽之王,王者万岁！,2586.5万次播放,8.5,会员专享,https://www.bilibili.com/bangumi/play/ss34107?theme=movie
大鱼海棠,北冥有鱼 其名为鲲,2562.3万次播放,6.6,,https://www.bilibili.com/bangumi/play/ss11890?theme=movie
玉子爱情故事,最喜欢饼藏了！请讲,2509.7万次播放,9.9,,https://www.bilibili.com/bangumi/play/ss4155?theme=movie
八佰,年度战争巨制,2509万次播放,6.3,会员专享,https://www.bilibili.com/bangumi/play/ss35384?theme=movie
命运之夜——天之杯II ：迷失之蝶,圣杯战争 终极宿命,2507.6万次播放,9.7,独家,https://www.bilibili.com/bangumi/play/ss28332?theme=movie
绿皮书,黑白配公路片,2507.2万次播放,9.8,会员专享,https://www.bilibili.com/bangumi/play/ss33615?theme=movie
亚当斯一家,怪诞哥特喜剧动画,2383.7万次播放,9.5,会员专享,https://www.bilibili.com/bangumi/play/ss39965?theme=movie
末日之战,僵尸世界大战,2383.5万次播放,9.3,会员专享,https://www.bilibili.com/bangumi/play/ss33173?theme=movie
剧场版总集篇 OVERLORD 漆黑的英雄,罪域的骨终为王,2373.7万次播放,9.3,独家,https://www.bilibili.com/bangumi/play/ss24959?theme=movie
精灵旅社4：变身大冒险 ,德古拉变身人类,2365.2万次播放,7.0,会员特价,https://www.bilibili.com/bangumi/play/ss41742?theme=movie
盗梦空间,你在第几层梦境？,2352.2万次播放,9.9,会员专享,https://www.bilibili.com/bangumi/play/ss28586?theme=movie
哈利·波特与阿兹卡班的囚徒,呼神护卫！,2237.2万次播放,9.8,会员专享,https://www.bilibili.com/bangumi/play/ss28297?theme=movie
楚门的世界,给世界直播私生活,2233.7万次播放,9.9,会员专享,https://www.bilibili.com/bangumi/play/ss25812?theme=movie
阿甘正传,影史励志电影之最,2227.4万次播放,9.8,会员专享,https://www.bilibili.com/bangumi/play/ss25568?theme=movie
指环王1：护戒使者,护戒小队中洲集结,2223.3万次播放,9.9,会员专享,https://www.bilibili.com/bangumi/play/ss33033?theme=movie
剧场版总集篇 OVERLORD 不死者之王,罪域的骨终为王,2124.7万次播放,9.4,独家,https://www.bilibili.com/bangumi/play/ss24255?theme=movie
帝国的毁灭,希特勒的最后十二夜,2097.6万次播放,9.9,会员专享,https://www.bilibili.com/bangumi/play/ss34041?theme=movie
哈利·波特与火焰杯,三强争霸赛开幕,2089.3万次播放,9.7,会员专享,https://www.bilibili.com/bangumi/play/ss28298?theme=movie
沙丘,年度科幻巨制,2067.6万次播放,8.2,会员专享,https://www.bilibili.com/bangumi/play/ss40396?theme=movie
神奇动物在哪里,重返魔法世界,2028.5万次播放,9.6,会员专享,https://www.bilibili.com/bangumi/play/ss34074?theme=movie
明日战记,第一部华语机甲爽片,2010.8万次播放,7.9,会员专享,https://www.bilibili.com/bangumi/play/ss43160?theme=movie
哈利·波特与凤凰社,邓布利多军集合！,1952.5万次播放,9.5,会员专享,https://www.bilibili.com/bangumi/play/ss28299?theme=movie
飞驰人生,沈腾爆笑逐梦赛车圈,1947.6万次播放,9.4,会员专享,https://www.bilibili.com/bangumi/play/ss33435?theme=movie
天书奇谭,中国动画经典独播,1942.8万次播放,9.9,独家,https://www.bilibili.com/bangumi/play/ss39733?theme=movie
入殓师,奥斯卡最佳外语片,1933.8万次播放,9.8,独家,https://www.bilibili.com/bangumi/play/ss41342?theme=movie
追凶者也,国产高分黑色喜剧,1906.9万次播放,9.4,,https://www.bilibili.com/bangumi/play/ss11929?theme=movie
中国惊奇先生,驱魔铁三角,1889.3万次播放,8.9,,https://www.bilibili.com/bangumi/play/ss10086?theme=movie
烟花,想要和你一起看,1883.6万次播放,8.6,会员专享,https://www.bilibili.com/bangumi/play/ss32394?theme=movie
小黄人大眼萌：神偷奶爸前传,格鲁小黄人缔结友谊,1857.6万次播放,9.3,会员特价,https://www.bilibili.com/bangumi/play/ss43356?theme=movie
EVA 新世纪福音战士新剧场版1.11：序,新故事，开篇！,1774.8万次播放,9.7,,https://www.bilibili.com/bangumi/play/ss1638?theme=movie
约会大作战 万由里裁决,任务是与精灵们约会,1737.5万次播放,9.4,,https://www.bilibili.com/bangumi/play/ss5630?theme=movie
